COUNTYNAME,COUNTYFP,YEAR,FuelType,value
Delaware,39041,2012,count_Wind,0.0
Delaware,39041,2013,count_Wind,0.0
Delaware,39041,2014,count_Wind,0.0
Delaware,39041,2015,count_Wind,0.0
Delaware,39041,2016,count_Wind,0.0
Delaware,39041,2017,count_Wind,0.0
Delaware,39041,2018,count_Wind,0.0
Delaware,39041,2019,count_Wind,0.0
Delaware,39041,2020,count_Wind,0.0
Delaware,39041,2021,count_Wind,0.0
Delaware,39041,2022,count_Wind,0.0
Delaware,39041,2023,count_Wind,0.0
Delaware,39041,2024,count_Wind,0.0
Delaware,39041,2000,total_Biofuel,0
Delaware,39041,2001,total_Biofuel,0
Delaware,39041,2002,total_Biofuel,0
Delaware,39041,2003,total_Biofuel,0
Delaware,39041,2004,total_Biofuel,0.0
Delaware,39041,2005,total_Biofuel,0
Delaware,39041,2006,total_Biofuel,0.0
Delaware,39041,2007,total_Biofuel,0
Delaware,39041,2008,total_Biofuel,0
Delaware,39041,2009,total_Biofuel,0.0
Delaware,39041,2010,total_Biofuel,0.0
Delaware,39041,2011,total_Biofuel,0
Delaware,39041,2012,total_Biofuel,0.0
Delaware,39041,2013,total_Biofuel,0.0
Delaware,39041,2014,total_Biofuel,0.0
Delaware,39041,2015,total_Biofuel,0.0
Delaware,39041,2016,total_Biofuel,0.0
Delaware,39041,2017,total_Biofuel,0.0
Delaware,39041,2018,total_Biofuel,0.0
Delaware,39041,2019,total_Biofuel,0.0
Delaware,39041,2020,total_Biofuel,0.0
Delaware,39041,2021,total_Biofuel,0.0
Delaware,39041,2022,total_Biofuel,0.0
Delaware,39041,2023,total_Biofuel,0.0
Delaware,39041,2024,total_Biofuel,0.0
Delaware,39041,2000,total_Energy Storage,0
Delaware,39041,2001,total_Energy Storage,0
Delaware,39041,2002,total_Energy Storage,0
Delaware,39041,2003,total_Energy Storage,0
Delaware,39041,2004,total_Energy Storage,0.0
Delaware,39041,2005,total_Energy Storage,0
Delaware,39041,2006,total_Energy Storage,0.0
Delaware,39041,2007,total_Energy Storage,0
Delaware,39041,2008,total_Energy Storage,0
Delaware,39041,2009,total_Energy Storage,0.0
Delaware,39041,2010,total_Energy Storage,0.0
Delaware,39041,2011,total_Energy Storage,0
Delaware,39041,2012,total_Energy Storage,0.0
Delaware,39041,2013,total_Energy Storage,4000.0
Delaware,39041,2014,total_Energy Storage,0.0
Delaware,39041,2015,total_Energy Storage,0.0
Delaware,39041,2016,total_Energy Storage,0.0
Delaware,39041,2017,total_Energy Storage,0.0
Delaware,39041,2018,total_Energy Storage,0.0
Delaware,39041,2019,total_Energy Storage,0.0
Delaware,39041,2020,total_Energy Storage,565.0
Delaware,39041,2021,total_Energy Storage,17.68
Delaware,39041,2022,total_Energy Storage,21.52
Delaware,39041,2023,total_Energy Storage,75.68
Delaware,39041,2024,total_Energy Storage,1019.68
Delaware,39041,2000,total_Natural Gas/Propane,0
Delaware,39041,2001,total_Natural Gas/Propane,0
Delaware,39041,2002,total_Natural Gas/Propane,0
Delaware,39041,2003,total_Natural Gas/Propane,0
Delaware,39041,2004,total_Natural Gas/Propane,0.0
Delaware,39041,2005,total_Natural Gas/Propane,0
Delaware,39041,2006,total_Natural Gas/Propane,0.0
Delaware,39041,2007,total_Natural Gas/Propane,0
Delaware,39041,2008,total_Natural Gas/Propane,0
Delaware,39041,2009,total_Natural Gas/Propane,0.0
Delaware,39041,2010,total_Natural Gas/Propane,0.0
Delaware,39041,2011,total_Natural Gas/Propane,0
Delaware,39041,2012,total_Natural Gas/Propane,0.0
Delaware,39041,2013,total_Natural Gas/Propane,0.0
Delaware,39041,2014,total_Natural Gas/Propane,0.0
Delaware,39041,2015,total_Natural Gas/Propane,0.0
