NAME,GEOIDFQ,SUMLEVEL,YEAR,METRIC,FUEL_TYPE,VALUE
Delaware,0500000US39041,050,2009,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2010,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2011,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2012,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2013,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2014,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2015,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2016,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2017,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2018,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2019,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2020,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2021,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2022,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2023,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2024,Facilities,Biomass,0.0
Delaware,0500000US39041,050,2009,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2010,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2011,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2012,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2013,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2014,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2015,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2016,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2017,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2018,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2019,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2020,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2021,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2022,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2023,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2024,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,0500000US39041,050,2009,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2010,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2011,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2012,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2013,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2014,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2015,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2016,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2017,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2018,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2019,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2020,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2021,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2022,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2023,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2024,Facilities,Hydroelectric,0.0
Delaware,0500000US39041,050,2009,Facilities,Solar Photovoltaic,0.0
Delaware,0500000US39041,050,2010,Facilities,Solar Photovoltaic,16.0
Delaware,0500000US39041,050,2011,Facilities,Solar Photovoltaic,77.0
Delaware,0500000US39041,050,2012,Facilities,Solar Photovoltaic,21.0
Delaware,0500000US39041,050,2013,Facilities,Solar Photovoltaic,18.0
Delaware,0500000US39041,050,2014,Facilities,Solar Photovoltaic,14.0
Delaware,0500000US39041,050,2015,Facilities,Solar Photovoltaic,13.0
Delaware,0500000US39041,050,2016,Facilities,Solar Photovoltaic,23.0
Delaware,0500000US39041,050,2017,Facilities,Solar Photovoltaic,35.0
Delaware,0500000US39041,050,2018,Facilities,Solar Photovoltaic,7.0
Delaware,0500000US39041,050,2019,Facilities,Solar Photovoltaic,12.0
Delaware,0500000US39041,050,2020,Facilities,Solar Photovoltaic,5.0
Delaware,0500000US39041,050,2021,Facilities,Solar Photovoltaic,2.0
Delaware,0500000US39041,050,2022,Facilities,Solar Photovoltaic,8.0
Delaware,0500000US39041,050,2023,Facilities,Solar Photovoltaic,7.0
Delaware,0500000US39041,050,2024,Facilities,Solar Photovoltaic,46.0
Delaware,0500000US39041,050,2009,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2010,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2011,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2012,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2013,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2014,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2015,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2016,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2017,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2018,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2019,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2020,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2021,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2022,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2023,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2024,Facilities,Solid Waste,0.0
Delaware,0500000US39041,050,2009,Facilities,Wind,0.0
Delaware,0500000US39041,050,2010,Facilities,Wind,0.0
Delaware,0500000US39041,050,2011,Facilities,Wind,0.0
Delaware,0500000US39041,050,2012,Facilities,Wind,0.0
Delaware,0500000US39041,050,2013,Facilities,Wind,0.0
